[2025-07-18 18:03:49,058]:INFO Logger created
[2025-07-18 18:03:56,563]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:03:56,976]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:03:57,707]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:03:58,635]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:03:59,111]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:03:59,701]:INFO Start polling
[2025-07-18 18:04:00,086]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:00,171]:INFO Run polling for bot @my_personale_trading_bot id=7756515615 - 'my_personal_trading_bot'
[2025-07-18 18:04:00,500]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:01,402]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:01,852]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:02,752]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:03,223]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:04,251]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:04,751]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:05,662]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:06,040]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:07,042]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:07,458]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:08,361]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:08,944]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:09,881]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:10,241]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:11,271]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:11,833]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:12,751]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:13,191]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:14,135]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:14,561]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
[2025-07-18 18:04:15,461]:INFO HTTP Request: GET https://www.okx.com/api/v5/market/candles?instId=SOL-USDT-SWAP&bar=5m&limit=100 "HTTP/2 200 OK"
[2025-07-18 18:04:15,820]:INFO HTTP Request: GET https://www.okx.com/api/v5/account/balance "HTTP/2 200 OK"
